,densenet121,resnet50,efficientnet_b0,convnext_tiny,densenet169,mean
Atelectasis,0.8254922459247398,0.8255764087015891,0.8053050873017635,0.8254723428527005,0.8187741085528858,0.8201240386667358
Cardiomegaly,0.9066894451352903,0.9017979175709401,0.8984140526120404,0.9166769620478844,0.9146076652079631,0.9076372085148237
Effusion,0.8905920179025375,0.8884312235203813,0.8842448402514517,0.8935325642643426,0.8901399591599056,0.8893881210197238
Infiltration,0.7191009513229221,0.7164974514498513,0.7163273455017449,0.7208142492328942,0.7154131595034713,0.7176306314021768
Mass,0.865853833934741,0.8555756735074806,0.8314775454891219,0.8679939720720921,0.8634762222854349,0.856875449457774
Nodule,0.778418859029043,0.7799671942536693,0.7584683301545111,0.8003542330588022,0.7911290981869838,0.7816675429366018
Pneumonia,0.7812305530462711,0.7726735349364076,0.7558301429575143,0.7779415981990507,0.7938257266170545,0.7763003111512596
Pleural_Thickening,0.8255695831928597,0.7980068747005695,0.8174559892737371,0.8268371719573433,0.8141163697499868,0.8163971977748993
Pneumothorax,0.8686594600526777,0.8520258803148124,0.8613288599021698,0.871784264078766,0.8600342562398093,0.862766544117647
Consolidation,0.8065244556229442,0.8108444628218716,0.8005530828867623,0.7918994961308554,0.809988939457801,0.803962087384047
Edema,0.8870261797303474,0.888226619629799,0.8869890453610604,0.885139111060329,0.8822172789076781,0.8859196469378429
Emphysema,0.9218021711376667,0.9255655821551197,0.904933034121276,0.9198082611074547,0.9230098565526649,0.9190237810148364
Fibrosis,0.8200560470498521,0.8309609525005484,0.8280512426452075,0.8322212628739372,0.8361765683772056,0.8294932146893501
Hernia,0.9126565855404438,0.8689692197566213,0.8577621689334288,0.8985325697924123,0.8668709735146743,0.880958303507516
MEAN,0.8435480277587383,0.8367942139871187,0.8290814833851279,0.8449291470520617,0.8414128701652513,0.8391531484696595
